antecedent,consequent,support,confidence,lift
{0},{1},0.152,0.536,1.032
{1},{0},0.152,0.293,1.032
{0},{4},0.112,0.396,0.997
{4},{0},0.112,0.283,0.997
{0},{6},0.153,0.539,1.021
{6},{0},0.153,0.29,1.021
{0},{14},0.213,0.748,1.043
{14},{0},0.213,0.297,1.043
{0},{18},0.206,0.723,1.025
{18},{0},0.206,0.292,1.025
{0},{19},0.151,0.533,0.988
{19},{0},0.151,0.281,0.988
{0},{30},0.168,0.59,1.048
{30},{0},0.168,0.298,1.048
{0},{34},0.185,0.651,1.017
{34},{0},0.185,0.289,1.017
{0},{44},0.12,0.421,1.13
{44},{0},0.12,0.321,1.13
{0},{48},0.143,0.502,1.049
{48},{0},0.143,0.298,1.049
{0},{49},0.108,0.379,0.975
{49},{0},0.108,0.277,0.975
{0},{16},0.154,0.542,1.057
{16},{0},0.154,0.3,1.057
{0},{26},0.122,0.428,1.039
{26},{0},0.122,0.295,1.039
{0},{12},0.113,0.398,1.089
{12},{0},0.113,0.31,1.089
{0},{46},0.109,0.385,1.034
{46},{0},0.109,0.294,1.034
{0},{32},0.121,0.427,1.035
{32},{0},0.121,0.294,1.035
{1},{4},0.214,0.411,1.035
{4},{1},0.214,0.538,1.035
{1},{6},0.284,0.547,1.037
{6},{1},0.284,0.539,1.037
{1},{11},0.155,0.298,1.056
{11},{1},0.155,0.549,1.056
{1},{14},0.382,0.735,1.025
{14},{1},0.382,0.533,1.025
{1},{18},0.387,0.745,1.056
{18},{1},0.387,0.549,1.056
{1},{19},0.288,0.555,1.028
{19},{1},0.288,0.534,1.028
{1},{20},0.154,0.297,1.096
{20},{1},0.154,0.57,1.096
{1},{21},0.174,0.334,1.091
{21},{1},0.174,0.567,1.091
{1},{24},0.118,0.227,1.066
{24},{1},0.118,0.554,1.066
{1},{28},0.189,0.363,1.059
{28},{1},0.189,0.551,1.059
{1},{30},0.31,0.596,1.059
{30},{1},0.31,0.55,1.059
{1},{34},0.352,0.677,1.057
{34},{1},0.352,0.549,1.057
{1},{44},0.2,0.384,1.029
{44},{1},0.2,0.535,1.029
{1},{48},0.255,0.49,1.023
{48},{1},0.255,0.532,1.023
{1},{49},0.205,0.394,1.014
{49},{1},0.205,0.527,1.014
{1},{3},0.123,0.237,0.997
{3},{1},0.123,0.518,0.997
{1},{15},0.158,0.304,0.996
{15},{1},0.158,0.518,0.996
{1},{16},0.278,0.534,1.041
{16},{1},0.278,0.541,1.041
{1},{26},0.218,0.418,1.015
{26},{1},0.218,0.528,1.015
{1},{41},0.105,0.202,0.977
{41},{1},0.105,0.508,0.977
{1},{2},0.152,0.292,1.071
{2},{1},0.152,0.557,1.071
{1},{12},0.201,0.387,1.059
{12},{1},0.201,0.551,1.059
{1},{35},0.112,0.216,0.976
{35},{1},0.112,0.508,0.976
{1},{42},0.166,0.319,1.005
{42},{1},0.166,0.523,1.005
