antecedent,consequent,support,confidence,lift
{'A'},{'D'},0.607,0.969,1.011
{'A'},{'F'},0.601,0.959,1.007
{'A'},{'U'},0.606,0.967,1.017
{'A'},{'X'},0.614,0.979,0.999
{'A'},{'AA'},0.578,0.922,1.007
{'A'},{'AD'},0.512,0.818,1.039
{'A'},{'AF'},0.587,0.937,1.027
{'D'},{'F'},0.91,0.95,0.998
{'F'},{'D'},0.91,0.956,0.998
{'R'},{'D'},0.635,0.943,0.984
{'D'},{'U'},0.919,0.959,1.009
{'U'},{'D'},0.919,0.967,1.009
{'D'},{'X'},0.939,0.98,1.0
{'X'},{'D'},0.939,0.959,1.0
{'AA'},{'D'},0.885,0.966,1.008
{'D'},{'AA'},0.885,0.923,1.008
{'AB'},{'D'},0.643,0.989,1.032
{'AD'},{'D'},0.772,0.981,1.024
{'D'},{'AD'},0.772,0.806,1.024
{'AF'},{'D'},0.882,0.967,1.009
{'D'},{'AF'},0.882,0.921,1.009
{'N'},{'D'},0.693,0.946,0.987
{'R'},{'F'},0.637,0.945,0.993
{'F'},{'U'},0.909,0.955,1.005
{'U'},{'F'},0.909,0.956,1.005
{'F'},{'X'},0.937,0.985,1.005
{'X'},{'F'},0.937,0.956,1.005
{'AA'},{'F'},0.874,0.954,1.003
{'F'},{'AA'},0.874,0.918,1.003
{'AB'},{'F'},0.647,0.995,1.046
{'AD'},{'F'},0.767,0.975,1.024
{'F'},{'AD'},0.767,0.806,1.024
{'AF'},{'F'},0.88,0.965,1.014
{'F'},{'AF'},0.88,0.925,1.014
{'N'},{'F'},0.689,0.941,0.989
{'R'},{'U'},0.628,0.933,0.981
{'R'},{'X'},0.658,0.977,0.997
{'R'},{'AA'},0.59,0.875,0.955
{'R'},{'AF'},0.595,0.883,0.968
{'R'},{'N'},0.549,0.816,1.114
{'U'},{'X'},0.932,0.98,1.0
{'X'},{'U'},0.932,0.951,1.0
{'AA'},{'U'},0.882,0.963,1.012
{'U'},{'AA'},0.882,0.927,1.012
{'AB'},{'U'},0.643,0.988,1.039
{'AD'},{'U'},0.776,0.987,1.037
{'U'},{'AD'},0.776,0.816,1.037
{'AF'},{'U'},0.885,0.97,1.02
{'U'},{'AF'},0.885,0.931,1.02
{'N'},{'U'},0.683,0.933,0.981
{'AA'},{'X'},0.899,0.981,1.001
{'X'},{'AA'},0.899,0.917,1.001
{'AB'},{'X'},0.643,0.989,1.009
{'AD'},{'X'},0.772,0.981,1.001
{'AF'},{'X'},0.893,0.979,0.999
{'X'},{'AF'},0.893,0.911,0.999
{'N'},{'X'},0.717,0.98,1.0
{'AB'},{'AA'},0.618,0.95,1.038
{'AA'},{'AD'},0.741,0.81,1.029
{'AD'},{'AA'},0.741,0.942,1.029
{'AA'},{'AF'},0.848,0.926,1.015
{'AF'},{'AA'},0.848,0.93,1.015
{'N'},{'AA'},0.652,0.891,0.972
{'AB'},{'AD'},0.646,0.994,1.263
{'AD'},{'AB'},0.646,0.821,1.263
{'AB'},{'AF'},0.65,1.0,1.096
{'AD'},{'AF'},0.784,0.996,1.092
{'AF'},{'AD'},0.784,0.859,1.092
{'N'},{'AF'},0.647,0.883,0.968
{'A'},"{'D', 'F'}",0.581,0.928,1.019
"{'D', 'A'}",{'F'},0.581,0.957,1.006
"{'F', 'A'}",{'D'},0.581,0.968,1.01
{'A'},"{'D', 'U'}",0.591,0.943,1.025
"{'D', 'A'}",{'U'},0.591,0.973,1.023
"{'U', 'A'}",{'D'},0.591,0.975,1.017
{'A'},"{'D', 'X'}",0.595,0.949,1.011
"{'D', 'A'}",{'X'},0.595,0.98,1.0
"{'X', 'A'}",{'D'},0.595,0.969,1.012
{'A'},"{'D', 'AA'}",0.564,0.899,1.017
"{'AA', 'A'}",{'D'},0.564,0.976,1.018
"{'D', 'A'}",{'AA'},0.564,0.928,1.014
{'A'},"{'AD', 'D'}",0.504,0.805,1.042
"{'AD', 'A'}",{'D'},0.504,0.984,1.027
"{'D', 'A'}",{'AD'},0.504,0.83,1.055
{'A'},"{'D', 'AF'}",0.572,0.913,1.034
"{'AF', 'A'}",{'D'},0.572,0.974,1.016
"{'D', 'A'}",{'AF'},0.572,0.942,1.032
{'A'},"{'F', 'U'}",0.582,0.93,1.022
"{'F', 'A'}",{'U'},0.582,0.97,1.019
"{'U', 'A'}",{'F'},0.582,0.961,1.01
{'A'},"{'F', 'X'}",0.592,0.945,1.008
"{'F', 'A'}",{'X'},0.592,0.985,1.005
"{'X', 'A'}",{'F'},0.592,0.964,1.013
{'A'},"{'F', 'AA'}",0.555,0.885,1.013
"{'AA', 'A'}",{'F'},0.555,0.96,1.009
"{'F', 'A'}",{'AA'},0.555,0.924,1.008
"{'AD', 'A'}",{'F'},0.501,0.978,1.028
"{'F', 'A'}",{'AD'},0.501,0.834,1.06
{'A'},"{'F', 'AF'}",0.567,0.905,1.028
"{'AF', 'A'}",{'F'},0.567,0.966,1.015
"{'F', 'A'}",{'AF'},0.567,0.944,1.035
{'A'},"{'X', 'U'}",0.594,0.947,1.017
"{'U', 'A'}",{'X'},0.594,0.98,1.0
"{'X', 'A'}",{'U'},0.594,0.967,1.017
{'A'},"{'AA', 'U'}",0.565,0.901,1.022
"{'AA', 'A'}",{'U'},0.565,0.978,1.028
"{'U', 'A'}",{'AA'},0.565,0.932,1.018
{'A'},"{'AD', 'U'}",0.508,0.811,1.045
"{'AD', 'A'}",{'U'},0.508,0.992,1.043
"{'U', 'A'}",{'AD'},0.508,0.839,1.066
{'A'},"{'AF', 'U'}",0.575,0.918,1.037
"{'AF', 'A'}",{'U'},0.575,0.98,1.03
"{'U', 'A'}",{'AF'},0.575,0.949,1.041
{'A'},"{'X', 'AA'}",0.567,0.905,1.007
"{'AA', 'A'}",{'X'},0.567,0.982,1.002
"{'X', 'A'}",{'AA'},0.567,0.924,1.009
{'A'},"{'AD', 'X'}",0.505,0.805,1.043
"{'AD', 'A'}",{'X'},0.505,0.985,1.005
"{'X', 'A'}",{'AD'},0.505,0.822,1.045
{'A'},"{'X', 'AF'}",0.575,0.917,1.027
"{'AF', 'A'}",{'X'},0.575,0.979,0.999
"{'X', 'A'}",{'AF'},0.575,0.937,1.027
{'A'},"{'AF', 'AA'}",0.549,0.877,1.034
"{'AA', 'A'}",{'AF'},0.549,0.951,1.043
"{'AF', 'A'}",{'AA'},0.549,0.936,1.022
{'A'},"{'AD', 'AF'}",0.511,0.815,1.04
"{'AD', 'A'}",{'AF'},0.511,0.997,1.092
"{'AF', 'A'}",{'AD'},0.511,0.87,1.105
{'R'},"{'D', 'F'}",0.598,0.888,0.976
"{'D', 'R'}",{'F'},0.598,0.942,0.989
"{'R', 'F'}",{'D'},0.598,0.94,0.981
{'D'},"{'F', 'U'}",0.878,0.916,1.007
{'F'},"{'D', 'U'}",0.878,0.922,1.003
"{'D', 'F'}",{'U'},0.878,0.964,1.014
{'U'},"{'D', 'F'}",0.878,0.923,1.014
"{'D', 'U'}",{'F'},0.878,0.955,1.003
"{'F', 'U'}",{'D'},0.878,0.965,1.007
{'D'},"{'F', 'X'}",0.896,0.935,0.998
{'F'},"{'D', 'X'}",0.896,0.942,1.003
"{'D', 'F'}",{'X'},0.896,0.985,1.005
{'X'},"{'D', 'F'}",0.896,0.915,1.005
"{'D', 'X'}",{'F'},0.896,0.954,1.003
"{'F', 'X'}",{'D'},0.896,0.957,0.998
{'AA'},"{'D', 'F'}",0.843,0.92,1.011
{'D'},"{'F', 'AA'}",0.843,0.88,1.006
"{'D', 'AA'}",{'F'},0.843,0.953,1.001
{'F'},"{'D', 'AA'}",0.843,0.886,1.001
"{'F', 'AA'}",{'D'},0.843,0.964,1.006
"{'D', 'F'}",{'AA'},0.843,0.926,1.011
{'AB'},"{'D', 'F'}",0.64,0.985,1.082
"{'AB', 'D'}",{'F'},0.64,0.995,1.046
"{'AB', 'F'}",{'D'},0.64,0.989,1.032
{'AD'},"{'D', 'F'}",0.752,0.956,1.05
"{'AD', 'D'}",{'F'},0.752,0.974,1.023
"{'AD', 'F'}",{'D'},0.752,0.981,1.024
"{'D', 'F'}",{'AD'},0.752,0.827,1.05
{'AF'},"{'D', 'F'}",0.85,0.932,1.025
{'D'},"{'F', 'AF'}",0.85,0.888,1.008
"{'D', 'AF'}",{'F'},0.85,0.964,1.013
{'F'},"{'D', 'AF'}",0.85,0.894,1.013
"{'F', 'AF'}",{'D'},0.85,0.966,1.008
"{'D', 'F'}",{'AF'},0.85,0.935,1.025
{'N'},"{'D', 'F'}",0.65,0.887,0.975
"{'N', 'D'}",{'F'},0.65,0.938,0.986
"{'N', 'F'}",{'D'},0.65,0.943,0.984
{'R'},"{'D', 'U'}",0.6,0.891,0.969
"{'D', 'R'}",{'U'},0.6,0.944,0.993
"{'R', 'U'}",{'D'},0.6,0.955,0.997
{'R'},"{'D', 'X'}",0.621,0.921,0.981
"{'D', 'R'}",{'X'},0.621,0.977,0.997
"{'R', 'X'}",{'D'},0.621,0.943,0.984
{'R'},"{'D', 'AA'}",0.562,0.834,0.943
"{'R', 'AA'}",{'D'},0.562,0.953,0.995
"{'D', 'R'}",{'AA'},0.562,0.884,0.965
{'R'},"{'D', 'AF'}",0.568,0.844,0.956
"{'R', 'AF'}",{'D'},0.568,0.955,0.997
"{'D', 'R'}",{'AF'},0.568,0.894,0.98
"{'D', 'R'}",{'N'},0.513,0.807,1.103
"{'N', 'R'}",{'D'},0.513,0.934,0.974
{'D'},"{'X', 'U'}",0.901,0.94,1.009
{'U'},"{'D', 'X'}",0.901,0.947,1.009
"{'D', 'U'}",{'X'},0.901,0.98,1.0
{'X'},"{'D', 'U'}",0.901,0.919,1.0
"{'D', 'X'}",{'U'},0.901,0.959,1.009
"{'X', 'U'}",{'D'},0.901,0.967,1.009
{'AA'},"{'D', 'U'}",0.857,0.936,1.019
{'D'},"{'AA', 'U'}",0.857,0.895,1.015
"{'D', 'AA'}",{'U'},0.857,0.969,1.019
{'U'},"{'D', 'AA'}",0.857,0.902,1.019
"{'AA', 'U'}",{'D'},0.857,0.973,1.015
"{'D', 'U'}",{'AA'},0.857,0.933,1.019
{'AB'},"{'D', 'U'}",0.635,0.977,1.063
"{'AB', 'D'}",{'U'},0.635,0.988,1.039
"{'AB', 'U'}",{'D'},0.635,0.989,1.032
{'AD'},"{'D', 'U'}",0.762,0.969,1.054
"{'AD', 'D'}",{'U'},0.762,0.987,1.038
{'U'},"{'AD', 'D'}",0.762,0.801,1.038
"{'AD', 'U'}",{'D'},0.762,0.982,1.025
"{'D', 'U'}",{'AD'},0.762,0.829,1.054
{'AF'},"{'D', 'U'}",0.859,0.942,1.025
{'D'},"{'AF', 'U'}",0.859,0.897,1.013
"{'D', 'AF'}",{'U'},0.859,0.974,1.024
{'U'},"{'D', 'AF'}",0.859,0.903,1.024
"{'AF', 'U'}",{'D'},0.859,0.971,1.013
"{'D', 'U'}",{'AF'},0.859,0.935,1.025
{'N'},"{'D', 'U'}",0.654,0.893,0.971
"{'N', 'D'}",{'U'},0.654,0.944,0.992
"{'N', 'U'}",{'D'},0.654,0.957,0.999
{'AA'},"{'D', 'X'}",0.868,0.948,1.009
{'D'},"{'X', 'AA'}",0.868,0.906,1.008
"{'D', 'AA'}",{'X'},0.868,0.981,1.001
{'X'},"{'D', 'AA'}",0.868,0.886,1.001
"{'X', 'AA'}",{'D'},0.868,0.966,1.008
"{'D', 'X'}",{'AA'},0.868,0.924,1.009
{'AB'},"{'D', 'X'}",0.637,0.979,1.042
"{'AB', 'D'}",{'X'},0.637,0.99,1.01
"{'AB', 'X'}",{'D'},0.637,0.99,1.033
{'AD'},"{'D', 'X'}",0.759,0.964,1.026
"{'AD', 'D'}",{'X'},0.759,0.982,1.003
"{'AD', 'X'}",{'D'},0.759,0.982,1.025
"{'D', 'X'}",{'AD'},0.759,0.808,1.026
{'AF'},"{'D', 'X'}",0.864,0.947,1.008
{'D'},"{'X', 'AF'}",0.864,0.902,1.01
"{'D', 'AF'}",{'X'},0.864,0.979,0.999
{'X'},"{'D', 'AF'}",0.864,0.882,0.999
"{'X', 'AF'}",{'D'},0.864,0.968,1.01
"{'D', 'X'}",{'AF'},0.864,0.92,1.008
{'N'},"{'D', 'X'}",0.679,0.928,0.987
"{'N', 'D'}",{'X'},0.679,0.98,1.0
"{'N', 'X'}",{'D'},0.679,0.947,0.988
{'AB'},"{'D', 'AA'}",0.613,0.943,1.066
"{'AB', 'AA'}",{'D'},0.613,0.992,1.036
"{'AB', 'D'}",{'AA'},0.613,0.953,1.041
{'AD'},"{'D', 'AA'}",0.731,0.929,1.05
"{'AD', 'AA'}",{'D'},0.731,0.986,1.029
"{'D', 'AA'}",{'AD'},0.731,0.826,1.05
"{'AD', 'D'}",{'AA'},0.731,0.947,1.034
{'AA'},"{'D', 'AF'}",0.825,0.901,1.021
{'AF'},"{'D', 'AA'}",0.825,0.904,1.022
"{'AF', 'AA'}",{'D'},0.825,0.973,1.015
{'D'},"{'AF', 'AA'}",0.825,0.861,1.015
"{'D', 'AA'}",{'AF'},0.825,0.933,1.022
"{'D', 'AF'}",{'AA'},0.825,0.935,1.021
{'N'},"{'D', 'AA'}",0.622,0.85,0.961
"{'N', 'AA'}",{'D'},0.622,0.955,0.997
"{'N', 'D'}",{'AA'},0.622,0.899,0.981
{'AB'},"{'AD', 'D'}",0.639,0.983,1.273
{'AD'},"{'AB', 'D'}",0.639,0.812,1.263
"{'AB', 'AD'}",{'D'},0.639,0.989,1.032
"{'AB', 'D'}",{'AD'},0.639,0.994,1.263
"{'AD', 'D'}",{'AB'},0.639,0.828,1.273
{'AB'},"{'D', 'AF'}",0.643,0.989,1.121
"{'AB', 'AF'}",{'D'},0.643,0.989,1.032
"{'AB', 'D'}",{'AF'},0.643,1.0,1.096
{'AD'},"{'D', 'AF'}",0.77,0.978,1.109
{'AF'},"{'AD', 'D'}",0.77,0.844,1.093
"{'AD', 'AF'}",{'D'},0.77,0.982,1.025
{'D'},"{'AD', 'AF'}",0.77,0.803,1.025
"{'AD', 'D'}",{'AF'},0.77,0.997,1.093
"{'D', 'AF'}",{'AD'},0.77,0.872,1.109
"{'N', 'AD'}",{'D'},0.519,0.972,1.015
{'N'},"{'D', 'AF'}",0.619,0.846,0.958
"{'N', 'AF'}",{'D'},0.619,0.957,0.999
"{'N', 'D'}",{'AF'},0.619,0.894,0.98
{'R'},"{'F', 'U'}",0.596,0.885,0.973
"{'R', 'F'}",{'U'},0.596,0.936,0.984
"{'R', 'U'}",{'F'},0.596,0.948,0.997
{'R'},"{'F', 'X'}",0.625,0.927,0.99
"{'R', 'F'}",{'X'},0.625,0.981,1.002
"{'R', 'X'}",{'F'},0.625,0.949,0.997
{'R'},"{'F', 'AA'}",0.559,0.83,0.949
"{'R', 'AA'}",{'F'},0.559,0.948,0.996
"{'R', 'F'}",{'AA'},0.559,0.878,0.959
{'R'},"{'F', 'AF'}",0.571,0.847,0.962
"{'R', 'AF'}",{'F'},0.571,0.959,1.008
"{'R', 'F'}",{'AF'},0.571,0.896,0.983
"{'R', 'F'}",{'N'},0.515,0.809,1.106
"{'N', 'R'}",{'F'},0.515,0.938,0.985
{'F'},"{'X', 'U'}",0.895,0.941,1.01
{'U'},"{'F', 'X'}",0.895,0.941,1.004
"{'F', 'U'}",{'X'},0.895,0.984,1.005
{'X'},"{'F', 'U'}",0.895,0.913,1.005
"{'F', 'X'}",{'U'},0.895,0.955,1.004
"{'X', 'U'}",{'F'},0.895,0.961,1.01
{'AA'},"{'F', 'U'}",0.844,0.922,1.013
{'F'},"{'AA', 'U'}",0.844,0.887,1.006
"{'F', 'AA'}",{'U'},0.844,0.966,1.015
{'U'},"{'F', 'AA'}",0.844,0.887,1.015
"{'AA', 'U'}",{'F'},0.844,0.957,1.006
"{'F', 'U'}",{'AA'},0.844,0.928,1.013
{'AB'},"{'F', 'U'}",0.64,0.984,1.082
"{'AB', 'F'}",{'U'},0.64,0.988,1.039
"{'AB', 'U'}",{'F'},0.64,0.995,1.046
{'AD'},"{'F', 'U'}",0.757,0.963,1.059
"{'AD', 'F'}",{'U'},0.757,0.988,1.038
"{'AD', 'U'}",{'F'},0.757,0.976,1.025
"{'F', 'U'}",{'AD'},0.757,0.833,1.059
{'AF'},"{'F', 'U'}",0.855,0.937,1.031
{'F'},"{'AF', 'U'}",0.855,0.899,1.015
"{'F', 'AF'}",{'U'},0.855,0.971,1.021
{'U'},"{'F', 'AF'}",0.855,0.899,1.021
"{'AF', 'U'}",{'F'},0.855,0.966,1.015
"{'F', 'U'}",{'AF'},0.855,0.94,1.031
{'N'},"{'F', 'U'}",0.647,0.883,0.971
"{'N', 'F'}",{'U'},0.647,0.938,0.987
"{'N', 'U'}",{'F'},0.647,0.947,0.995
{'AA'},"{'F', 'X'}",0.862,0.941,1.005
{'F'},"{'X', 'AA'}",0.862,0.906,1.008
"{'F', 'AA'}",{'X'},0.862,0.987,1.007
{'X'},"{'F', 'AA'}",0.862,0.88,1.007
"{'X', 'AA'}",{'F'},0.862,0.959,1.008
"{'F', 'X'}",{'AA'},0.862,0.92,1.005
{'AB'},"{'F', 'X'}",0.64,0.985,1.051
"{'AB', 'F'}",{'X'},0.64,0.989,1.009
"{'AB', 'X'}",{'F'},0.64,0.995,1.046
{'AD'},"{'F', 'X'}",0.754,0.959,1.023
"{'AD', 'F'}",{'X'},0.754,0.984,1.004
"{'AD', 'X'}",{'F'},0.754,0.977,1.027
"{'F', 'X'}",{'AD'},0.754,0.805,1.023
{'AF'},"{'F', 'X'}",0.866,0.949,1.013
{'F'},"{'X', 'AF'}",0.866,0.91,1.019
"{'F', 'AF'}",{'X'},0.866,0.983,1.003
{'X'},"{'F', 'AF'}",0.866,0.883,1.003
"{'X', 'AF'}",{'F'},0.866,0.97,1.019
"{'F', 'X'}",{'AF'},0.866,0.924,1.013
{'N'},"{'F', 'X'}",0.678,0.927,0.989
"{'N', 'F'}",{'X'},0.678,0.985,1.005
"{'N', 'X'}",{'F'},0.678,0.946,0.994
{'AB'},"{'F', 'AA'}",0.615,0.946,1.082
"{'AB', 'AA'}",{'F'},0.615,0.995,1.046
"{'AB', 'F'}",{'AA'},0.615,0.95,1.037
{'AD'},"{'F', 'AA'}",0.724,0.92,1.053
"{'AD', 'AA'}",{'F'},0.724,0.976,1.026
"{'F', 'AA'}",{'AD'},0.724,0.828,1.053
"{'AD', 'F'}",{'AA'},0.724,0.944,1.031
{'AA'},"{'F', 'AF'}",0.819,0.895,1.016
{'AF'},"{'F', 'AA'}",0.819,0.898,1.027
"{'AF', 'AA'}",{'F'},0.819,0.966,1.015
{'F'},"{'AF', 'AA'}",0.819,0.861,1.015
"{'F', 'AA'}",{'AF'},0.819,0.937,1.027
"{'F', 'AF'}",{'AA'},0.819,0.93,1.016
{'N'},"{'F', 'AA'}",0.615,0.841,0.962
"{'N', 'AA'}",{'F'},0.615,0.944,0.992
"{'N', 'F'}",{'AA'},0.615,0.893,0.975
{'AB'},"{'AD', 'F'}",0.643,0.989,1.29
{'AD'},"{'AB', 'F'}",0.643,0.817,1.263
"{'AB', 'AD'}",{'F'},0.643,0.995,1.046
"{'AB', 'F'}",{'AD'},0.643,0.994,1.263
"{'AD', 'F'}",{'AB'},0.643,0.839,1.29
{'AB'},"{'F', 'AF'}",0.647,0.995,1.131
"{'AB', 'AF'}",{'F'},0.647,0.995,1.046
"{'AB', 'F'}",{'AF'},0.647,1.0,1.096
{'AD'},"{'F', 'AF'}",0.764,0.972,1.103
{'AF'},"{'AD', 'F'}",0.764,0.838,1.093
"{'AD', 'AF'}",{'F'},0.764,0.975,1.025
{'F'},"{'AD', 'AF'}",0.764,0.803,1.025
"{'AD', 'F'}",{'AF'},0.764,0.997,1.093
"{'F', 'AF'}",{'AD'},0.764,0.868,1.103
"{'N', 'AD'}",{'F'},0.519,0.971,1.021
{'N'},"{'F', 'AF'}",0.62,0.847,0.962
"{'N', 'AF'}",{'F'},0.62,0.959,1.008
"{'N', 'F'}",{'AF'},0.62,0.9,0.987
